code,month,year,total_flights,total_delays,total_time,ratio_delayed
DEN,December,2014,18206,4411,253825,24.22827639239811
IAD,December,2014,4320,937,50832,21.689814814814813
ORD,December,2014,23484,4763,250923,20.281894055527168
SAN,December,2014,6339,1746,92118,27.543776620918127
SFO,December,2014,13827,5721,462958,41.375569537860706
SLC,December,2014,8825,1546,84162,17.518413597733712
ATL,January,2015,29492,4331,259410,14.685338396853384
DEN,January,2015,17059,3885,230061,22.77390233894132
IAD,January,2015,3700,855,52993,23.10810810810811
ORD,January,2015,23515,6551,445150,27.85881352328301
SAN,January,2015,6084,1030,49728,16.92965154503616
SFO,January,2015,12883,2850,176783,22.122176511682063
SLC,January,2015,8626,1191,67026,13.807094829584976
ATL,February,2015,27366,4662,318276,17.035737776803334
DEN,February,2015,15638,3742,218738,23.928891162552755
IAD,February,2015,2998,656,40058,21.881254169446297
ORD,February,2015,21814,6606,437556,30.28330429999083
SAN,February,2015,5478,1119,56932,20.427163198247538
SFO,February,2015,11555,2929,202402,25.348334054521853
SLC,February,2015,7866,1108,64768,14.085939486397153
ATL,March,2015,32775,5181,303090,15.807780320366133
DEN,March,2015,18617,3156,185184,16.952247945426222
IAD,March,2015,3033,548,32675,18.067919551599076
ORD,March,2015,26122,5374,348102,20.57269734323559
SAN,March,2015,6589,1039,55507,15.768705418121112
SFO,March,2015,13431,2421,145963,18.025463480008934
SLC,March,2015,9475,1135,67796,11.978891820580474
ATL,April,2015,31383,4356,259165,13.880126182965299
DEN,April,2015,17472,3024,171016,17.307692307692307
IAD,April,2015,2955,438,24850,14.822335025380712
ORD,April,2015,25845,4364,307578,16.885277616560263
SAN,April,2015,6422,1176,58236,18.312052320149487
SFO,April,2015,13015,2496,144693,19.17787168651556
SLC,April,2015,8845,1042,59644,11.780667043527417
ATL,May,2015,32425,4446,330862,13.711642251349268
DEN,May,2015,18072,3480,196031,19.256308100929616
IAD,May,2015,3244,548,33715,16.892725030826142
ORD,May,2015,26909,4789,304479,17.79701958452562
SAN,May,2015,6595,1266,63201,19.196360879454133
SFO,May,2015,13520,3753,223817,27.75887573964497
SLC,May,2015,8757,921,52548,10.517300445358
ATL,June,2015,32739,6031,429830,18.421454534347415
DEN,June,2015,18684,4773,319132,25.54592164418754
IAD,June,2015,3382,893,55860,26.40449438202247
ORD,June,2015,27590,7889,581576,28.593693367162015
SAN,June,2015,6763,1479,72919,21.868993050421413
SFO,June,2015,13844,3135,194632,22.645189251661368
SLC,June,2015,8975,1305,77573,14.540389972144846
ATL,July,2015,33735,5258,336605,15.586186453238476
DEN,July,2015,19083,4171,255722,21.857150343237436
IAD,July,2015,3334,669,39614,20.065986802639472
ORD,July,2015,28183,6130,413016,21.75070077706419
SAN,July,2015,7031,1564,84314,22.24434646565211
SFO,July,2015,14435,3684,222354,25.521302390024246
SLC,July,2015,9502,1298,78126,13.660282045885078
ATL,August,2015,33725,5145,332631,15.255744996293553
DEN,August,2015,18871,3304,196833,17.50834613957925
IAD,August,2015,3228,576,36951,17.843866171003718
ORD,August,2015,28128,5110,359191,18.166951080773604
SAN,August,2015,6876,1212,60636,17.62652705061082
SFO,August,2015,14605,3149,182462,21.56110920917494
SLC,August,2015,9502,1157,63116,12.17638391917491
ATL,September,2015,31331,3134,189013,10.002872554339152
DEN,September,2015,17393,1802,106946,10.360489852239407
IAD,September,2015,2925,397,20898,13.572649572649572
ORD,September,2015,26169,3879,249030,14.82288203599679
SAN,September,2015,6173,722,35527,11.69609590150656
SFO,September,2015,13318,1913,104536,14.364018621414626
SLC,September,2015,8406,671,40106,7.9823935284320715
ATL,October,2015,32594,3098,185823,9.504816837454747
DEN,October,2015,18125,2200,121745,12.137931034482758
IAD,October,2015,3000,352,18872,11.733333333333333
ORD,October,2015,27608,3236,187975,11.721240220226022
SAN,October,2015,6207,661,33975,10.649266956661833
SFO,October,2015,14170,2096,128173,14.79181369089626
SLC,October,2015,8764,652,35799,7.439525330899133
ATL,November,2015,30903,4060,232209,13.137883053425234
DEN,November,2015,17120,3076,185113,17.967289719626166
IAD,November,2015,2684,320,20330,11.922503725782414
ORD,November,2015,26063,3962,338718,15.201626827303075
SAN,November,2015,5965,997,50942,16.714165968147526
SFO,November,2015,13527,2189,128015,16.182449914984844
SLC,November,2015,8435,981,53796,11.630112625963248
ATL,December,2015,31030,5474,435512,17.640992587818243
DEN,December,2015,18001,3610,257655,20.054441419921115
IAD,December,2015,2799,443,31164,15.827081100392999
ORD,December,2015,25568,4233,307956,16.555851063829788
SAN,December,2015,6231,1383,73139,22.19547424169475
SFO,December,2015,13833,4465,359584,32.27788621412564
SLC,December,2015,8804,1745,107269,19.82053611994548
